Coder_ID,Pair_type,Word_ID,Word,POS,Note,They_Q1,They_Q2,Bodily_Physical,Epistemic,Behavioral_Result,Additional_Meaning,Distinctiveness,Relatedness,Causing,Caused,Meaning_label
1,verb,3374,want,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3375,be carried away,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3376,save,verb,to rescue,no,yes,no,no,no,yes,yes,yes,yes,no,1.0
1,verb,3376,save,verb,to preserve,yes,yes,no,no,no,yes,yes,yes,yes,no,2.0
1,verb,3377,anticipate,verb,,yes,yes,no,yes,no,no,,,yes,no,1.0
1,verb,3378,enlighten,verb,,no,yes,no,yes,no,no,,,yes,no,1.0
1,verb,3379,be staggered,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3380,fear,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3381,distrust,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3382,be tightened,verb,,yes,yes,yes,no,no,no,,,no,yes,1.0
1,verb,3383,be reluctant,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3384,be disheartened,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3385,be dispirited,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3386,be in agony,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3387,be desperate,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3388,be shocked,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3389,expect,verb,,yes,yes,no,yes,no,no,,,yes,no,1.0
1,verb,3390,be merry,verb,,yes,yes,no,no,no,no,,,yes,yes,1.0
1,verb,3391,be sickening,verb,,no,yes,no,no,no,no,,,yes,no,1.0
1,verb,3392,detest,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3393,grieve,verb,,yes,yes,no,no,no,no,,,yes,yes,1.0
1,verb,3394,get hurt,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3395,"burn one's or others' mind (fret, worry, trouble)",verb,assuming transitive sense,no,yes,no,no,no,no,,,yes,no,1.0
1,verb,3396,point out,verb,,yes,yes,no,yes,no,no,,,yes,no,1.0
1,verb,3397,congratulate,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3398,be perplexed,verb,,yes,yes,no,yes,no,no,,,no,yes,1.0
1,verb,3399,be concerned,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3400,repent,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3401,be mad,verb,as in angry,yes,yes,no,no,no,yes,no,yes,no,yes,1.0
1,verb,3401,be mad,verb,as in crazy,yes,yes,no,yes,no,yes,no,yes,no,yes,2.0
1,verb,3402,appreciate,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3403,be happy,verb,,yes,yes,no,no,no,no,,,yes,yes,1.0
1,verb,3404,cherish,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3405,prefer,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3406,feel pricked,verb,literal sense,yes,yes,yes,no,no,yes,yes,yes,no,yes,1.0
1,verb,3406,feel pricked,verb,metaphorical/emotional sense,yes,yes,no,no,no,yes,yes,yes,no,yes,2.0
1,verb,3407,be dumbfounded,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3408,disregard,verb,,yes,yes,no,yes,no,no,,,yes,no,1.0
1,verb,3409,be appalled,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3410,be downhearted,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3411,reflect on,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3412,be nervous,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
3,verb,3413,reproach,verb,,yes,yes,no,no,yes,no,,,no,no,1.0
3,verb,3414,aspire,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
3,verb,3415,be amazed,verb,,yes,yes,no,yes,no,no,,,no,yes,1.0
3,verb,3416,be sick of,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
3,verb,3417,be caught,verb,,yes,no,no,no,no,no,,,no,yes,1.0
3,verb,3418,shun,verb,,yes,no,no,no,no,no,,,no,no,1.0
3,verb,3419,bewail,verb,,no,yes,no,no,no,no,,,no,no,1.0
3,verb,3420,bemoan,verb,,no,yes,no,no,no,no,,,no,no,1.0
3,verb,3421,reprimand,verb,,yes,no,no,no,yes,no,,,no,no,1.0
3,verb,3422,love,verb,,yes,yes,no,no,no,no,,,no,no,1.0
3,verb,3423,resign,verb,,yes,yes,no,no,yes,no,,,no,no,1.0
3,verb,3424,be aversive,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
3,verb,3425,rejoice,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
3,verb,3426,be hostile,verb,,yes,yes,no,no,yes,no,,,no,no,1.0
3,verb,3427,be disappointed,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
3,verb,3428,go to pieces,verb,?,unsure,unsure,no,no,no,no,,,no,no,1.0
3,verb,3429,be pleased,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
3,verb,3430,be sickened,verb,,yes,yes,yes,no,no,no,,,no,yes,1.0
3,verb,3431,be confident,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
3,verb,3432,lose one's temper,verb,,yes,yes,no,no,yes,no,,,no,no,1.0
3,verb,3433,despise,verb,,yes,yes,no,no,no,no,,,no,no,1.0
3,verb,3434,be unsettled,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
3,verb,3435,be terrified,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
3,verb,3436,waste away,verb,,no,yes,no,no,no,no,,,no,no,1.0
3,verb,3437,pity,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
